P/T (kPa/K),Den (Kg/cu m),Temp (C),Pres (kPa),Alt (m)
1.04847844497442E-05,3.6545E-5,107.990000,3.9956E-3,80000
1.04949805115298E-05,3.6581E-5,107.960100,3.9992E-3,79990
1.05051872898412E-05,3.6616E-5,107.930200,4.0028E-3,79980
1.0515404796784E-05,3.6652E-5,107.900300,4.0064E-3,79970
1.05256330444788E-05,3.6687E-5,107.870400,4.0100E-3,79960
1.05358720450606E-05,3.6723E-5,107.840500,4.0135E-3,79950
1.05461218106793E-05,3.6759E-5,107.810600,4.0171E-3,79940
1.05563823534991E-05,3.6795E-5,107.780700,4.0207E-3,79930
1.05666536856994E-05,3.6830E-5,107.750800,4.0243E-3,79920
1.0576935819474E-05,3.6866E-5,107.720900,4.0279E-3,79910
1.05872287670314E-05,3.6902E-5,107.691000,4.0315E-3,79900
1.05975325405951E-05,3.6938E-5,107.661100,4.0351E-3,79890
1.06078471524031E-05,3.6974E-5,107.631200,4.0387E-3,79880
1.06181726147085E-05,3.7010E-5,107.601300,4.0424E-3,79870
1.0628508939779E-05,3.7046E-5,107.571400,4.0460E-3,79860
1.06388561398971E-05,3.7082E-5,107.541500,4.0496E-3,79850
1.06492142273604E-05,3.7118E-5,107.511600,4.0532E-3,79840
1.06595832144812E-05,3.7154E-5,107.481700,4.0568E-3,79830
1.06699631135866E-05,3.7191E-5,107.451800,4.0605E-3,79820
1.06803539370189E-05,3.7227E-5,107.421900,4.0641E-3,79810
1.0690755697135E-05,3.7263E-5,107.392000,4.0677E-3,79800
1.07011684063069E-05,3.7299E-5,107.362100,4.0714E-3,79790
1.07115920769217E-05,3.7336E-5,107.332200,4.0750E-3,79780
1.07220267213814E-05,3.7372E-5,107.302300,4.0787E-3,79770
1.07324723521028E-05,3.7408E-5,107.272400,4.0823E-3,79760
1.0742928981518E-05,3.7445E-5,107.242500,4.0860E-3,79750
1.0753396622074E-05,3.7481E-5,107.212600,4.0897E-3,79740
1.0763875286233E-05,3.7518E-5,107.182700,4.0933E-3,79730
1.07743649864722E-05,3.7554E-5,107.152800,4.0970E-3,79720
1.07848657352838E-05,3.7591E-5,107.122900,4.1007E-3,79710
1.07953775451754E-05,3.7628E-5,107.093000,4.1043E-3,79700
1.08059004286694E-05,3.7664E-5,107.063100,4.1080E-3,79690
1.08164343983036E-05,3.7701E-5,107.033200,4.1117E-3,79680
