#,UTC Time,Grid,GPS Fix Validity,Track Attachment,Lat (°),Lon (°),Altitude (km),Vertical Speed (m/min),Speed (km/h),Computed Speed (km/h),Voltage (V),Temperature (°C),Sun Elevation (°),# RX Reports,Average RX Frequency (Hz),Max RX Distance (km),Max SNR (dB)
112,2025-11-13 09:36,KM67ls,1,1,37.77,32.96,6.62,0,30,26,4.90,0,34,8,79,2747,-17
111,2025-11-13 09:26,KM67,1,0,37.50,33.00,,,,,,,35,3,102,2649,-21
110,2025-11-12 11:36,KM36,1,0,36.50,27.00,,,,,,,31,4,92,1967,-12
109,2025-11-12 11:26,KM36kf,1,1,36.23,26.88,6.54,-4,30,,3.20,-4,32,50,78,3159,-7
108,2025-11-12 11:16,KM36jf,1,1,36.23,26.79,6.58,8,33,,4.85,-2,33,48,74,3002,-9
107,2025-11-12 11:06,KM36ie,1,1,36.19,26.71,6.50,2,30,,3.15,-5,34,27,76,2860,-6
106,2025-11-12 10:56,KM36he,1,1,36.19,26.63,6.48,-4,30,,4.95,3,34,35,76,3866,-2
105,2025-11-12 10:46,KM36he,1,1,36.19,26.63,6.52,0,26,36,3.10,-6,35,24,79,2471,-1
104,2025-11-12 10:36,KM36ge,1,1,36.19,26.54,6.52,1,26,,3.15,0,35,35,77,3005,-5
103,2025-11-12 10:26,KM36,1,0,36.50,27.00,,,,,,,35,10,77,2132,-6
102,2025-11-12 10:16,KM36ee,1,1,36.19,26.38,6.50,2,30,,3.20,-6,36,49,74,3003,-10
101,2025-11-12 10:06,KM36ee,1,1,36.19,26.38,6.48,0,33,,4.95,-3,36,66,74,3843,-4
100,2025-11-12 09:56,KM36dd,1,1,36.15,26.29,6.48,1,30,36,3.35,-1,36,63,74,3007,-8
99,2025-11-12 09:46,KM36,1,0,36.50,27.00,,,,,,,36,6,67,2414,-12
98,2025-11-12 09:36,KM36cd,1,1,36.15,26.21,6.46,-10,30,,3.20,0,36,74,76,3828,-6
97,2025-11-12 09:26,KM36bd,1,1,36.15,26.13,6.56,6,33,,4.85,-4,36,98,75,3821,-3
96,2025-11-12 09:16,KM36ad,1,1,36.15,26.04,6.50,-120,30,,3.00,0,35,74,71,3005,-7
95,2025-11-12 09:06,KM26xd,1,1,36.15,25.96,7.70,120,30,28,3.05,2,35,69,72,3806,-5
94,2025-11-12 08:56,KM26wd,1,1,36.15,25.88,6.50,-2,33,,3.20,-4,34,78,72,3798,-8
93,2025-11-12 08:46,KM26,1,0,36.50,25.00,,,,,,,33,54,71,3721,-6
92,2025-11-12 08:36,KM26vd,1,1,36.15,25.79,6.54,2,37,,3.05,-5,33,45,74,3791,-3
91,2025-11-12 08:26,KM26vc,1,1,36.10,25.79,6.52,2,33,,4.85,0,32,26,76,3791,-15
90,2025-11-12 08:16,KM26uc,1,1,36.10,25.71,6.50,0,37,45,4.80,-7,31,29,76,3783,-11
89,2025-11-11 12:16,JM88,1,0,38.50,17.00,,,,,,,29,24,72,1957,-13
88,2025-11-11 12:06,JM78xo,1,1,38.60,15.96,6.50,-1,52,51,4.90,6,30,26,75,1753,-11
87,2025-11-11 11:16,JM78rq,1,1,38.69,15.46,6.54,2,48,,4.95,8,33,36,77,1861,-8
86,2025-11-11 11:06,JM78pr,1,1,38.73,15.29,6.52,-6,44,,3.10,8,34,22,74,1849,-9
