Time	TX	txGrid	RX	rxGrid	MHz	Watts	SNR	drift	k	az	mode	k/W	spotQ	version
2025-11-04 12:06	KF8EEZ	EM79vr	K3GMQ-B	FN20lh	14.09707	0.01	-16	0	783	82	WSPR2	78300	42506	WD_3.3.2-2
2025-11-04 12:06	KF8EEZ	EM79vr	UACNJ	FN20mv	14.097064	0.01	-16	0	795	78	WSPR2	79500	43157	WD_3.3.2-2
2025-11-04 12:06	KF8EEZ	EM79vr	W2NAF-2	FN21ei	14.097064	0.01	-21	0	747	73	WSPR2	74700	29880	WD_3.3.2-2
2025-11-04 12:06	KF8EEZ	EM79vr	W2NAF-3	FN21ei	14.097064	0.01	-18	0	747	73	WSPR2	74700	36283	WD_3.3.2-2
2025-11-04 12:06	KF8EEZ	EM79vr	KA3LNA	FM29dc	14.097079	0.01	-19	0	733	93	WSPR2	73300	33509	2.3.1
2025-11-04 12:56	KF8EEZ	EM79vr	WA2TP	FN30lu	14.097063	0.01	-20	0	955	79	WSPR2	95500	40929	WD_3.2.1
2025-11-04 12:56	KF8EEZ	EM79vr	VE3EID	FN05gk	14.097089	0.01	-19	0	744	30	WSPR2	74400	34011	CWSL_DIGI
2025-11-04 12:56	KF8EEZ	EM79vr	UACNJ	FN20mv	14.097063	0.01	-17	0	795	78	WSPR2	79500	40886	WD_3.3.2-2
2025-11-04 13:06	KF8EEZ	EM79vr	VE3EID	FN05gk	14.097089	0.01	-19	0	744	30	WSPR2	74400	34011	CWSL_DIGI
2025-11-04 13:06	KF8EEZ	EM79vr	KA3LNA	FM29dc	14.097078	0.01	-19	0	733	93	WSPR2	73300	33509	2.3.1
2025-11-05 10:16	KF8EEZ	EM79vr	WA2TP	FN30lu	14.097064	0.01	-25	0	955	79	WSPR2	95500	27286	WD_3.2.1
2025-11-05 10:16	KF8EEZ	EM79vr	VE3EID	FN05gk	14.097088	0.01	-23	0	744	30	WSPR2	74400	25509	CWSL_DIGI
2025-11-05 10:16	KF8EEZ	EM79vr	KD2OM	FN12gx	14.097064	0.01	-10	0	669	55	WSPR2	66900	47786	WD_3.3.2-2
