#,Local Time,Grid,GPS Fix Validity,Track Attachment,Lat (°),Lon (°),Altitude (km),Vertical Speed (m/min),Speed (km/h),Computed Speed (km/h),Voltage (V),Temperature (°C),Sun Elevation (°),# RX Reports,Average RX Frequency (Hz),Max RX Distance (km),Max SNR (dB)
226,2026-05-05 20:12,FQ30,1,0,70.5,-73.0,,,,,,,9,3,83,2809,-8
225,2026-05-05 19:42,FQ30wr,1,1,70.73,-72.13,4.60,-22,37,,3.10,-9,11,8,80,3322,-4
224,2026-05-05 19:32,FQ30uq,1,1,70.69,-72.29,4.82,-46,67,82,3.35,-13,12,6,62,3368,-2
223,2026-05-05 19:22,FQ30,1,0,70.5,-73.0,,,,,,,13,9,67,3296,-7
222,2026-05-05 19:12,FQ30ql,1,1,70.48,-72.63,5.74,-46,85,,3.55,-15,13,12,66,3531,-6
221,2026-05-05 19:02,FQ30oi,1,1,70.35,-72.79,6.20,-29,89,100,3.55,-16,14,16,62,3516,-5
220,2026-05-05 18:52,FQ30,1,0,70.5,-73.0,,,,,,,15,20,62,3296,1
219,2026-05-05 18:42,FQ30ic,1,1,70.10,-73.29,6.78,-20,107,,3.50,-15,16,43,64,10559,2
218,2026-05-05 18:32,FP39fx,1,1,69.98,-73.54,6.98,-16,104,111,3.45,-14,17,37,67,5186,0
217,2026-05-05 18:22,FP39dt,1,1,69.81,-73.71,7.14,-4,104,,4.15,-14,18,23,65,5111,-4
216,2026-05-05 18:12,FP39aq,1,1,69.69,-73.96,7.18,2,104,,4.70,-11,19,17,67,3677,-3
215,2026-05-05 18:02,FP29wm,1,1,69.52,-74.13,7.16,0,104,100,3.10,-14,20,28,63,4105,-8
214,2026-05-05 17:52,FP29uj,1,1,69.40,-74.29,7.16,0,104,,3.30,-11,21,33,65,5289,-1
213,2026-05-05 17:42,FP29sf,1,1,69.23,-74.46,7.16,2,104,,4.80,-11,22,35,63,5301,-1
212,2026-05-05 17:32,FP29qc,1,1,69.10,-74.63,7.14,0,104,105,4.30,-5,23,47,65,5312,-1
211,2026-05-05 17:22,FP28px,1,1,68.98,-74.71,7.14,0,104,,4.40,-10,24,34,67,5001,-2
210,2026-05-05 17:12,FP28nt,1,1,68.81,-74.88,7.14,4,100,,4.50,-8,25,39,66,5195,-4
209,2026-05-05 17:02,FP28mp,1,1,68.65,-74.96,7.10,0,100,96,4.75,-8,25,28,65,5024,-8
208,2026-05-05 16:52,FP28km,1,1,68.52,-75.13,7.10,2,96,,4.50,-13,26,43,63,5035,-4
207,2026-05-05 16:42,FP28ji,1,1,68.35,-75.21,7.08,-4,96,,4.60,-11,27,31,64,5227,-7
206,2026-05-05 16:32,FP28if,1,1,68.23,-75.29,7.12,4,96,104,4.85,-6,28,23,65,5054,-8
