#,Local Time,Grid,Track Attachment,Lat (°),Lon (°),Altitude (km),Vertical Speed (m/min),Speed (km/h),Computed Speed (km/h),Voltage (V),Temperature (°C),Sun Elevation (°),# RX Reports,Average RX Frequency (Hz),Max RX Distance (km),Max SNR (dB)
24,2026-05-03 12:26,EM99,0,39.5,-81.0,,,,,,,63,1,35,1166,-25
23,2026-05-03 11:46,EM99dn,1,39.56,-81.71,0.18,0,0,0,4.90,24,58,1,35,1168,-25
22,2026-05-02 12:46,EM99,0,39.5,-81.0,,,,,,,65,1,19,1167,-30
21,2026-05-02 12:36,EM99dn,1,39.56,-81.71,0.18,-21,0,22,3.80,25,64,3,26,1214,-17
20,2026-05-02 12:26,EM99,0,39.5,-81.0,,,,,,,63,3,63,1879,-24
19,2026-05-02 12:16,EM99,0,39.5,-81.0,,,,,,,62,2,28,1167,-23
18,2026-05-02 11:46,EM99cn,1,39.56,-81.79,1.22,-44,26,,4.60,0,58,20,37,3511,-9
17,2026-05-02 11:36,EM99bo,1,39.60,-81.88,1.66,-16,30,,4.60,3,56,29,30,3530,-4
16,2026-05-02 11:26,EM99bo,1,39.60,-81.88,1.82,-36,48,,4.60,5,55,29,34,3227,-6
15,2026-05-02 11:16,EM99ap,1,39.65,-81.96,2.18,-46,33,,4.60,6,53,33,32,3369,-4
14,2026-05-02 11:06,EM89xp,1,39.65,-82.04,2.64,-76,33,,4.60,4,51,39,30,16441,-5
13,2026-05-02 10:56,EM89wq,1,39.69,-82.13,3.40,-62,37,64,4.60,2,49,45,31,16434,-1
12,2026-05-02 10:46,EM89vq,1,39.69,-82.21,4.02,-70,44,,4.55,0,48,52,30,16427,-5
11,2026-05-02 10:36,EM89uq,1,39.69,-82.29,4.72,-66,67,,4.55,-3,46,39,32,5025,-4
10,2026-05-02 10:26,EM89sp,1,39.65,-82.46,5.38,-72,85,,4.50,-7,44,47,29,5020,-6
9,2026-05-02 10:16,EM89qp,1,39.65,-82.63,6.10,-50,107,120,4.10,-12,42,44,29,5011,-5
8,2026-05-02 10:06,EM89nn,1,39.56,-82.88,6.60,48,133,,3.75,0,40,42,25,5005,-6
7,2026-05-02 09:56,EM89km,1,39.52,-83.13,6.12,52,107,,3.70,-6,38,50,30,16348,-3
6,2026-05-02 09:46,EM89il,1,39.48,-83.29,5.60,70,85,51,3.55,-7,36,54,27,16333,1
5,2026-05-02 09:36,EM89gl,1,39.48,-83.46,4.90,38,74,,4.10,-3,34,52,29,16319,-1
4,2026-05-02 09:26,EM89fk,1,39.44,-83.54,4.52,48,52,,3.55,-3,32,29,35,16251,-7
3,2026-05-02 09:16,EM89el,1,39.48,-83.63,4.04,44,44,,4.95,-2,30,34,32,16304,5
2,2026-05-02 09:06,EM89dl,1,39.48,-83.71,3.60,66,41,,3.05,0,28,25,27,16297,-1
1,2026-05-02 08:56,EM89cm,1,39.52,-83.79,2.94,,48,,4.95,1,26,26,30,16291,5
